Focal Animal Recording
(c)Michael J. Renner

Observer:,mr
Study Code:,2021 bass
Indiv ID:,r16051
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,c436c11
Behavior Date:,2021-5-25
Behavior Time:,11:19 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 11:20:18 AM
Coding Ended:,05/25/2021 11:25:22 AM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Groom,11:20:18,00:00:14.3976842,00:00:14.3976842
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Scratch,11:20:33,00:00:11.7599939,00:00:26.1576781
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:20:45,00:00:08.1457020,00:00:34.3033801
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:20:53,00:00:24.4388205,00:00:58.7422006
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:21:17,00:00:13.2116283,00:01:11.9538289
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:21:30,00:00:23.2378933,00:01:35.1917222
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:21:54,00:00:26.3708120,00:02:01.5625342
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:22:20,00:00:14.5581977,00:02:16.1207319
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:22:34,00:00:11.1718952,00:02:27.2926271
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:22:46,00:00:29.3162325,00:02:56.6088596
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:23:15,00:00:14.5855977,00:03:11.1944573
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:23:30,00:01:10.0459918,00:04:21.2404491
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:24:40,00:00:12.0385527,00:04:33.2790018
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:24:52,00:00:15.9719251,00:04:49.2509269
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Scratch,11:25:08,00:00:02.9596219,00:04:52.2105488
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Inactive,11:25:11,00:00:07.7725461,00:04:59.9830949
mr,r16051,Pair,c436c11,2021-5-25,1.0.46.0,Eat/drink,11:25:18,00:00:01.8930932,00:05:01.8761881

BehavCode, Occurrences, totalTime
Inactive,7,00:01:33.2967340
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,7,00:02:59.4621541
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,2,00:00:14.7196158
Groom,1,00:00:14.3976842
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
