Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,R00048
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Single
Room/Cage:,Ab165c19
Behavior Date:,2021-5-18
Behavior Time:,12:45 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 12:52:36 PM
Coding Ended:,05/18/2021 12:57:40 PM
Session duration:,00:05:03
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,R00048,Single,Ab165c19,2021-5-18,1.0.46.0,Groom,12:52:36,00:00:15.3224319,00:00:15.3224319
BNP,R00048,Single,Ab165c19,2021-5-18,1.0.46.0,Inactive,12:52:52,00:04:46.5742455,00:05:01.8966774

BehavCode, Occurrences, totalTime
Inactive,1,00:04:46.5742455
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,0,00:00:00
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,1,00:00:15.3224319
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
