Focal Animal Recording
(c)Michael J. Renner

Observer:,BNP
Study Code:,Bass2021
Indiv ID:,Rh2774
Obs Site:,Other Site
Obs Type:,Assessment
Housing:,Pair
Room/Cage:,Ab165c21
Behavior Date:,2021-5-18
Behavior Time:,12:27 PM
Ethogram:,2021 bass.csv
Coding Began:,05/18/2021 12:27:56 PM
Coding Ended:,05/18/2021 12:32:57 PM
Session duration:,00:05:01
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Locomotion,12:27:56,00:00:11.1188345,00:00:11.1188345
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Inactive,12:28:07,00:00:02.2880359,00:00:13.4068704
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Locomotion,12:28:10,00:00:14.7846497,00:00:28.1915201
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Inactive,12:28:25,00:00:28.7462564,00:00:56.9377765
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Locomotion,12:28:53,00:00:08.4259693,00:01:05.3637458
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Inactive,12:29:02,00:00:03.3810677,00:01:08.7448135
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Feargrimace,12:29:05,00:00:02.6002623,00:01:11.3450758
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:29:08,00:00:05.8948106,00:01:17.2398864
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Present,12:29:14,00:00:02.7309344,00:01:19.9708208
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:29:16,00:00:10.2039585,00:01:30.1747793
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:29:27,00:00:01.7882702,00:01:31.9630495
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:29:28,00:00:17.8305804,00:01:49.7936299
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:29:46,00:00:14.6468856,00:02:04.4405155
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Present,12:30:01,00:00:02.3773249,00:02:06.8178404
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Sex/self/other,12:30:03,00:00:05.0094489,00:02:11.8272893
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:30:08,00:01:54.5599751,00:04:06.3872644
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Sex/self/other,12:32:03,00:00:04.8023065,00:04:11.1895709
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:32:08,00:00:19.7098215,00:04:30.8993924
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:32:27,00:00:07.2906884,00:04:38.1900808
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:32:35,00:00:02.6284637,00:04:40.8185445
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Sex/self/other,12:32:37,00:00:04.6509034,00:04:45.4694479
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:32:42,00:00:04.7358732,00:04:50.2053211
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:32:47,00:00:02.2018742,00:04:52.4071953
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Threat/display,12:32:49,00:00:04.1795120,00:04:56.5867073
BNP,Rh2774,Pair,Ab165c21,2021-5-18,1.0.46.0,Tactile/explore,12:32:53,00:00:03.6392573,00:05:00.2259646

BehavCode, Occurrences, totalTime
Inactive,3,00:00:34.4153600
Threat/display,7,00:02:42.2488013
Sex/self/other,3,00:00:14.4626588
Locomotion,3,00:00:34.3294535
Aggression,0,00:00:00
Eat/drink,0,00:00:00
Pacing,0,00:00:00
Present,2,00:00:05.1082593
Tactile/explore,6,00:00:47.0611694
Jumping,0,00:00:00
Feargrimace,1,00:00:02.6002623
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
