Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,cy0726
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a275c4
Behavior Date:,2021-5-25
Behavior Time:,10:25 AM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 10:25:29 AM
Coding Ended:,05/25/2021 10:30:44 AM
Session duration:,00:05:14
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Locomotion,10:25:29,00:00:08.6620711,00:00:08.6620711
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Pacing,10:25:38,00:03:53.6375498,00:04:02.2996209
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Inactive,10:29:31,00:00:06.4203243,00:04:08.7199452
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Eat/drink,10:29:38,00:00:13.6391812,00:04:22.3591264
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Locomotion,10:29:52,00:00:05.9501005,00:04:28.3092269
ta,cy0726,Single,a275c4,2021-5-25,1.0.46.0,Pacing,10:29:57,00:00:45.4528167,00:05:13.7620436

BehavCode, Occurrences, totalTime
Inactive,1,00:00:06.4203243
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,2,00:00:14.6121716
Aggression,0,00:00:00
Eat/drink,1,00:00:13.6391812
Pacing,2,00:04:39.0903665
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,0,00:00:00
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
