Focal Animal Recording
(c)Michael J. Renner

Observer:,ta
Study Code:,bass
Indiv ID:,r15023
Obs Site:,Blank Park Zoo
Obs Type:,Assessment
Housing:,Single
Room/Cage:,a270c9
Behavior Date:,2021-5-25
Behavior Time:,12:26 PM
Ethogram:,2021 bass.csv
Coding Began:,05/25/2021 12:27:20 PM
Coding Ended:,05/25/2021 12:32:22 PM
Session duration:,00:05:02
App Version:,1.0.46.0
Notes:,

Observer, IndivID, Weather, Temp, Date, Version, BehavCode, StartTime, Duration, CumTime
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Groom,12:27:20,00:01:09.7081881,00:01:09.7081881
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Eat/drink,12:28:29,00:01:26.3487638,00:02:36.0569519
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Groom,12:29:56,00:00:29.4853563,00:03:05.5423082
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Inactive,12:30:25,00:00:26.4823247,00:03:32.0246329
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Locomotion,12:30:52,00:00:03.8850011,00:03:35.9096340
ta,r15023,Single,a270c9,2021-5-25,1.0.46.0,Pacing,12:30:56,00:01:25.0576033,00:05:00.9672373

BehavCode, Occurrences, totalTime
Inactive,1,00:00:26.4823247
Threat/display,0,00:00:00
Sex/self/other,0,00:00:00
Locomotion,1,00:00:03.8850011
Aggression,0,00:00:00
Eat/drink,1,00:01:26.3487638
Pacing,1,00:01:25.0576033
Present,0,00:00:00
Tactile/explore,0,00:00:00
Jumping,0,00:00:00
Feargrimace,0,00:00:00
Lipsmack,0,00:00:00
Swing/spin/flip,0,00:00:00
Scratch,0,00:00:00
Groom,2,00:01:39.1935444
Rock,0,00:00:00
Yawn,0,00:00:00
SocGroom,0,00:00:00
Headtoss,0,00:00:00
Mantleshake,0,00:00:00
Social/play,0,00:00:00
Salute,0,00:00:00
Selfdirect,0,00:00:00
Vocal,0,00:00:00
Cling,0,00:00:00
Selfbite,0,00:00:00
Other,0,00:00:00
